species,iaffd_code,ingredient,inclusion_percent
Nile Tilapia - Starter,10018,"Fish meal, sardine, 66% CP",5
Nile Tilapia - Starter,23002,"Poultry by-product meal, feed-grade, 60% CP",10
Nile Tilapia - Starter,30346,"Corn gluten meal, 62% CP",7
Nile Tilapia - Starter,30355,"Corn, grain",6.54
Nile Tilapia - Starter,30505,"Distillers dried grains with solubles, DDGS",9.54
Nile Tilapia - Starter,30944,"Rice, broken",15
Nile Tilapia - Starter,31218,"Soy protein concentrate, 65% CP",8.29
Nile Tilapia - Starter,31252,"Soybean meal, USA, dehulled, Standard, 48% CP",35
Nile Tilapia - Starter,50116,"Fish oil, sardine, Pacific-California",0.56
Nile Tilapia - Starter,52105,Canola oil,0.76
Nile Tilapia - Starter,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Nile Tilapia - Starter,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Nile Tilapia - Starter,62132,"Mono calcium phosphate, MCP, Ca(H2PO4)2.H2O",1.47
Nile Tilapia - Starter,70146,"BHT, powder, 0.1%",0.1
Nile Tilapia - Grower,10019,"Fish meal, tuna, mechanically extracted, 58% CP",3
Nile Tilapia - Grower,23002,"Poultry by-product meal, feed-grade, 60% CP",7
Nile Tilapia - Grower,30307,"Cassava, tuber, meal",6
Nile Tilapia - Grower,30346,"Corn gluten meal, 62% CP",5
Nile Tilapia - Grower,30907,"Rapeseed/Canola meal, solvent extracted, 39% CP",8
Nile Tilapia - Grower,30944,"Rice, broken",7.8
Nile Tilapia - Grower,30937,Rice bran,6.77
Nile Tilapia - Grower,31252,"Soybean meal, USA, dehulled, Standard, 48% CP",40
Nile Tilapia - Grower,31610,"Wheat, flour",10.11
Nile Tilapia - Grower,50116,"Fish oil, sardine, Pacific-California",0.81
Nile Tilapia - Grower,52113,Palm oil,2.78
Nile Tilapia - Grower,52117,Soybean oil,0.81
Nile Tilapia - Grower,60107,"Vitamin premix, USSEC standard, fish grower, 0.5%",0.5
Nile Tilapia - Grower,61111,DL-Methionine,0.09
Nile Tilapia - Grower,62106,"Mineral premix, USSEC Standard, fish, 0.25%",0.25
Nile Tilapia - Grower,62132,"Mono calcium phosphate, MCP, Ca(H2PO4)2.H2O",0.99
Nile Tilapia - Grower,70146,"BHT, powder, 0.1%",0.1
Nile Tilapia - Finisher,10032,"Fish meal, mixed fish, SEA, 60% CP",1
Nile Tilapia - Finisher,23002,"Poultry by-product meal, feed-grade, 60% CP",4
Nile Tilapia - Finisher,30307,"Cassava, tuber, meal",6
Nile Tilapia - Finisher,30355,"Corn, grain",10
Nile Tilapia - Finisher,30505,"Distillers dried grains with solubles, DDGS",3.56
Nile Tilapia - Finisher,30907,"Rapeseed/Canola meal, solvent extracted, 39% CP",7
